,song_name,lyrics
18,Barbie Tingz Lyrics,"Dem-dem-dem-dem dem-dem|-|Dem-dem-dem-dem|-|Dem-dem-dem-dem dem-dem|-|Dem-dem-dem-dem|-|Uh, I'm in my prime, Optimus Sagittarius, so you know I'm an optimist|-|Man, keep it all real, I'm a prophetess (okay)|-|So at least you took an L off your bucket list (bucket list)|-|It's time to make hits and it's time to diss How you still dissin', still can't find some hits? (Okay)|-|Was it worth it, dummy? I ain't mind a bit Still on that show gettin' no chips, time to dip|-|I, I, I, I-I, I-I, I (okay)|-|I'm still fly, just bagged a white guy (okay)|-|Ritchie like Guy and I still eat Thai|-|Want the Nicki cheat code? Come on, bitch, nice try|-|Let's be real, all you bitches wanna look like me|-|Wanna be in demand, get booked like me|-|Wanna run up in the lab and cook like me|-|But ain't nan you hoes pussy good like me|-|Pussy so good his ex wanna still fight me|-|Face so pretty bitches wish they could slice me|-|She just mad 'cause he never bought her ice like me|-|I cut all my niggas off, but they would still wife me (still wife me)|-|Rap bitches tell they team, ""Make 'em like Barbie""|-|Had to come off IG so they can't stalk me|-|All they do is copy looks, steal music too|-|Want to see what bitches do when they lose the blueprint|-|I mean the pink print, ho, let it sink in|-|I spoke to Jay the other day, he's still the kingpin|-|He's still the only nigga that I woulda signed to|-|If I ain't sign to Wayne's perfectly designed crew|-|'Cause we the big 3, don't need a big speech|-|We made the biggest impact, check the spreadsheet|-|That's Lil Weezy, the Barbie and Drizzy Drake|-|Niggas gettin' more cheese, kissy face|-|I'm a bad bitch, fuck the bitch (uh)|-|Bitch get slick, I'ma cut the bitch|-|I'm a bad bitch, suck some dick (okay)|-|If that bitch get slick, I'll cut the bitch|-|I'll cut up the bitch, I'll gut the bitch (okay)|-|Had to fuck up the bitch, man, fuck the bitch|-|Won't shoot her but I will gun-butt the bitch|-|When we say ""Fuck the bitch"" dick-up the bitch|-|She was stuck-up so my niggas stuck up the bitch|-|Still draggin' her so don't pick up the bitch|-|Get the combination to the safe, drug the bitch|-|Know the whole operation been bugged the bitch|-|I, I, I, I-I, I-I, I (okay)|-|I'm still fly, just bagged a white guy (okay)|-|Ritchie like Guy and I still eat Thai|-|Want the Nicki cheat code? Come on, bitch, nice try|-|Let's be real, all you bitches wanna look like me|-|Wanna be in demand, get booked like me|-|Wanna run up in the lab and cook like me|-|But ain't nan you hoes pussy good like me|-|Pussy so good his ex wanna still fight me|-|Face so pretty bitches wish they could slice me|-|She just mad 'cause he never bought her ice like me|-|I cut all my niggas off, but they would still wife me (still wife me)|-|They would still wife me|-|They would still wife me|-|Yup, him too, he would still wife me|-|Ahh, ha|-|When it come to stealin' flows, these birds is fluent|-|But they stutter when get asked 'bout the queen's influence|-|When it's clear they bite me, I'm flattered they like me|-|I don't wanna check bitches, tell 'em wear their Nikes|-|Barbie tings, that's Barbie tings|-|Big Barbie tings, that's Barbie tings|-|Big Barbie tings, that's Barbie tings|-|Uh, Barbie dreamhouse, Barbie rings|-|That's Barbie beach house, Barbie Benz|-|Barbie white picket, Barbie fence|-|All tea, all shade, bitch, all offence|-|If you ever try to confiscate Barbie's ken|-|I'ma put you in the box where my dollies been|-|Chop it up and the next stop garbage bin|-|'Cause you hoes too old to be gossipin'|-|I'm just tryna find out when the new Porsche come in"
19,Itty Bitty Piggy Lyrics,"Ayo I was on da plane with da Wayne|-|You can call me Whitley I go to Hill man|-|Listen, I'm da baddest in da school, da baddest in da game|-|Excuse me honey, but nobody's in my lane|-|When you was in new york you was fuckin da yankee|-|I was fuckin with bass, I was pitchin da frankie|-|These bitches so cranky give dem a hanky|-|But mami I'm cold give me me my blanky|-|Whoa Whoa ok ok whoa whoa holiday wait hold on hold on holiday!|-|You can't give it to em dry like that. You gotta get that shit wet first nigga like c'mon now! You gotta prep them for shit like that they can't just get that shit right off da top. like you gotta bring that shit back bring that shit the fuck back!|-|Ayo I was on da plane with da Wayne|-|You can call me Whitley I go to Hill man|-|Listen, I'm da baddest in da school, da baddest in da game|-|Xscuse me honey, but nobody's in my lane|-|When you was in new york you was fuckin da yankee|-|I was fuckin with bass, I was pitchin da frankie|-|These bitches so cranky give dem a hanky|-|But mami I'm cold give me me my blanky|-|Flier than a kite, I get higher than rapunzel|-|Keep the snow white I can buy it by the bundle|-|Step ya cookies up for they crumble|-|Don't be actin like the Cardinals and gon fumble...|-|Cause I'm a Steeler|-|Fresh up out the dealer|-|All da dopeboys gon feel her|-|Flow so sick I need a healer|-|Fuck is my mac concealer|-|I be out in Queens in da back of 4 whee-whee-whee-whee-whee-whee-wheelers|-|I'm a big bill|-|That's why I get more head than a pigtail|-|I'm getting the muchies|-|I think I'll have a rap bitch for my entree|-|And they be thinkin they can spit spit shine my shoes|-|You know I keep a bad bitch let me sign ya boobs|-|I'm the only thing hoppin like a kangaroo|-|I mean the only thing poppin like a?|-|Listen, you should buy yo 16 cause I write it good|-|The 808, woof woof, cause I write it good|-|And bitches can't find they man cause I ride it good|-|I'm the wolf, never thought I ride a riding hood|-|And if you see a itty bitty piggy in the market|-|Give that bitch a quarter and a car tell her park it|-|I don't fuck with pigs like asalamaleka|-|I put em in the field, I let oscar meyer bake em It's like I'm just single handedley anilated,|-|You know every rap bitch in the building|-|Like like I'm Nicki Minaj, Nicki Lewinsky, Nicki the ninja, Nicki the boss, Nicki the Harajuku Barbie|-|Like, I mean, I don't even know why you girls bother at this point|-|Like, give up, its me, I win you lose!|-|Hahahahahahaha oh shit hahaha yo!|-|I'm a bad bitch, I'm a I'm a bad bitch Hahahahahaha|-|I told you, I told you before, I told you yall was gonna have to pick my fruit out.|-|Now listen, in addition to pickin' my fruit out I want yall to start going to the boutiques.|-|Know what I'm saying.|-|Get some get some get some crazy shit for me|-|I want|-|I want you know leopard skin and you know|-|I want|-|I want all that crazy lizard skin shit like you know|-|Make sure you|-|You can be my personal shopper!|-|Hahahahahahahahahahahaha!|-|A yo!|-|WOO!!!|-|Uh hu Uh hu Uh hu"
20,Moment 4 Life Lyrics,"Nicki Minaj:|-|I fly with the stars in the skies|-|I am no longer trying to survive|-|I believe that life is a prize|-|But to live doesn't mean you're alive|-|Don't worry bout me and who I fire|-|I get what I desire it's my empire|-|And yes I call the shots I am the umpire|-|I sprinkle holy water upon a vampire, vampire|-|And this very moment I'm king|-|This very moment I slay Goliath with a sling|-|This very moment I bring|-|Put it on everything that I will retire with the ring|-|And I will retire with the crown, yes!|-|No I'm not lucky I'm blessed, yes!|-|Clap for the heavyweight champ, me!|-|But I couldn't do it all alone, we!|-|Young Money raised me, grew up out in Paisley|-|Southside Jamaica, Queens and it's crazy|-|Cuz I'm still hood, Hollywood couldn't change me|-|Shout out to my haters, sorry that you couldn't faze me|-|Aint being cocky we just vindicated, best believe that when were done|-|This moment will be syndicated, I don't know this night just reminds me|-|Of everything that they deprived me of, kuhh!|-|Ppppp put ya drinks up, it's a celebration every time we link up|-|We done did everything they can think of|-|Greatness is what we wanna brink up.|-|I wish that I could have this moment for life, for life, for life|-|Cuz in this moment I just feel so alive, alive, alive|-|I wish that I could have this moment for life, for life, for life|-|This is my moment I just feel so alive, alive, alive|-|Yeahh|-|Yeaah|-|Yeahh, ugh|-|What I tell 'em hoes bow bow bow to me, drop down to ya knees|-|Young Money the Mafia that's word to Lil Cease|-|I'm in The Dominican Big Papi Ortiz|-|Doin' target practice all these bitches just aiming to please|-|Shoutout to the CEO 500 degrees|-|Shoutout to the OVO where we set for T's, oooow|-|N-ggas wanna be friends how coincidental|-|This supposed to be our year we ain't get the memo|-|Young King, pay me in gold|-|40 Got a bunch of weed he ain't even roll|-|These n-ggas be droppin songs they ain't even cold|-|Weezy on top and that n-gga aint even home, yet!|-|Yeaah, be very afraid these other rappers getting bodied and carried away|-|F-ck it me and Nicki Nick gettin' married today|-|And now you bitches that be hatin can catch a bouquet, oww|-|Yeah, you a star in my eyes, you and all them white girls party of five|-|Are we drinking a lil more I can hardly decide|-|I can't believe we really made it I'm partly surprised, I swear|-|Daaam, this one for the books, man|-|I swear this shit is as fun as it looks, man|-|I'm really tryna make it more than what it is, cuz everybody dies but not everybody lives|-|I wish that I could have this moment for life, for life, for life|-|Cuz in this moment I just feel so alive, alive, alive|-|I wish that I could have this moment for life, for life, for life|-|This is my moment I just feel so alive, alive, alive|-|Nick Minaj:|-|This is my moment, I waited all my life I can tell its time|-|Drifting away I'm one with the sunsets, I have become alive|-|I wish that I could have this moment for life, for life, for life|-|Cuz in this moment I just feel so alive, alive, alive|-|I wish that I could have this moment for life, for life, for life|-|This is my moment I just feel so alive, alive, alive|-|For life!"
21,The Night Is Still Young Lyrics,"Yo, ayo tonight is the night that I'ma get twisted|-|Myx Moscato and vodka, I'ma mix it|-|Roll that spaceship, we about to get lifted|-|Lift and the President gift is for the gifted|-|This what you came, this what you came for|-|You get what you buy, this what you paid for|-|So make sure the stars is what you aim for|-|Make mistakes though|-|I never worry, life is a journey|-|I just wanna enjoy the ride|-|What is the hurry? It's pretty early|-|It's ok, we'll take our time|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we|-|Ayo, drinks on you or the drinks is on me|-|We ain't going nowhere like tanks on E|-|We still getting money, which bank is it gonna be?|-|If he sexy, he planking on me|-|So when them big boys want all of that|-|Tell the bartender, say my order back|-|It's bottle service, he ordered that|-|Might let him take it home and slaughter that|-|He got friends for all of my friends|-|They ain't leaving 'till we say when|-|And we gon' hangover the next day|-|But we will remember this day|-|So drop the pop and get low|-|Or we can drop the top and just cruise|-|We fresh to death, down to the shoes|-|My only motto in life is don't lose|-|I never worry, life is a journey|-|I just wanna enjoy the ride|-|What is the hurry? It's pretty early|-|It's ok, we'll take our time|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we|-|We're just getting started, yeah, yeah|-|We're just getting started, yeah, yeah|-|Can't you see the night's still early|-|And we gon' get wild and crazy|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we|-|The night is still young|-|The night is still young|-|The night is still young|-|And so are we"
22,Truffle Butter Lyrics,"(You know, uhn, uhn, uhn|-|You know, uhn, uhn, uhn)|-|Uh, thinkin' out loud|-|I must have a quarter million on me right now|-|Hard to make a song 'bout somethin' other than the money|-|Two things I'm 'bout is talkin' blunt and staying blunted|-|Pretty women, are you here? Are you here right now, huh?|-|We should all disappear right now|-|Look, you're gettin' all your friends and you're gettin' in the car|-|And you're comin' to the house, are we clear right now, huh?|-|You see the fleet of all the new things|-|Cop cars with the loose change|-|All white like I move things|-|Niggas see me rollin' and their mood change|-|Like a motherfucker|-|New flow, I got a dozen of 'em|-|I don't trust you, you are undercover|-|I could probably make some step-sisters fuck each other (oh)|-|Talkin' filets with the truffle butter|-|Fresh sheets and towels, man she gotta love it|-|Yeah, they all get what they desire from it|-|What, tell them niggas we ain't hidin' from it|-|(You know, uhn, uhn, uhn|-|You know, uhn, uhn, uhn)|-|Yo, thinkin' out loud|-|I must have about a milli on me right now|-|And I ain't talkin' about that Lil Wayne record|-|I'm still the highest sellin' female rapper, for the record|-|Man, this a 65 million single sold|-|I ain't gotta compete with a single soul|-|I'm good with the ballpoint game, finger roll|-|Ask me how to do it, I don't tell a single soul|-|Pretty women, wassup? Is you here right now?|-|You a stand-up or is you in your chair, right now? Uhh|-|Do you hear me?|-|I can't let a wack nigga get near me|-|I might kiss the baddest bitch, if you dare me|-|I ain't never need a man, to take care of me|-|Yo, I'm in that big boy, bitches can't rent this|-|I floss everyday, but I ain't a dentist|-|Your whole style and approach, I invented|-|And I ain't takin' that back, cause I meant it|-|(You know, uhn, uhn, uhn|-|You know, uhn, uhn, uhn)|-|Uh, thinkin' out loud|-|I could be broke and keep a million dollar smile|-|LOL to the bank checkin' my account|-|Bank teller flirtin' after checkin' my account|-|Pretty ladies, are you here? Truffle butter on your pussy|-|Cuddle buddies on the low|-|You ain't gotta tell your friend that I eat it in the morning|-|Cause she gonna say ""I know""|-|Can I hit it in the bathroom? Put your hands on the toilet|-|I'll put one leg on the tub|-|Girl, this my new dance move|-|I just don't know what to call it|-|But bitch you dancing with the stars|-|I ain't nothin' like your last dude|-|What's his name? Not important|-|I bought some cocaine, you can snort it|-|She became a vacuum, put it on my dick like carpet|-|Suck the white off like chocolate|-|I'm so heartless, thoughtless, lawless and flawless|-|Smallest regardless, largest in charge and born in New Orleans|-|Get killed for Jordans|-|Skateboard, I'm gnarly; Drake, Tunechi and Barbie|-|You know (You know)|-|(Uhn, uhn, uhn|-|You know, uhn, uhn, uhn)"
23,High School Lyrics,"He said he came from Jamaica|-|He owned a couple acres|-|A couple fake visas cause he never got his papers|-|Gave up on love, fucking with them heart breakers|-|But he was getting money with the movers and the shakers|-|He was mixed with a couple things|-|Ball like a couple rings|-|Bricks in the condo and grams to sing sing|-|Left arm, baby mother tatted|-|5-year bid up, North on they ratted|-|Anyway, I felt him, helped him|-|Put him on lock, seatbelt them|-|Took him out to Belgium, welcome!|-|Bitches this pretty, that's seldom|-|This box better than the box he was held in|-|I'm Momma Dee in that order|-|I call him Daddy like daughters|-|He like it when I get drunk|-|But I like it when he be sober|-|That's top of the toppa|-|I never fuck with beginners|-|I let him play with my pussy|-|Then lick it off of his fingers|-|I'm in the zone|-|They holler at me but its you|-|You, this ain't high school|-|Me and my crew, we can slide through|-|Give it to you whenever you want|-|Whip it whenever you want|-|Baby, it's yours anywhere, everywhere|-|Baby it's your world, ain't it?|-|Baby it's your world, ain't it?|-|She got a nigga at home and one on the side|-|Best friend is a dike, they fucked around a few times|-|Her and her momma alike, so all they do is fight|-|I tell her make me some money, she tell me make her a wife|-|I tell her: ""bitch, you crazy, fuck wrong with you?|-|And excuse my French, but I'm a long kisser|-|And then she try to tell me I'm the only one that's hitting|-|And I say: ""what about them niggas?""|-|She say: ""what about them niggas?""|-|You right, what you doing tonight?|-|Put on something tight|-|Don't judge me, I get life|-|She love me like a brother|-|But fuck me like a husband|-|Pussy like a oven too hot to put my tongue in|-|All I had to do is rub it|-|The genie out the bottle|-|Pussy so wet, I'm a need goggles|-|She tell me that's it's mine|-|I tell her stop lying, mine and who else?|-|She say worry about yourself, Lil Tune|-|They holler at me but its you|-|You, this ain't high school|-|Me and my crew, we can slide through|-|Give it to you whenever you want|-|Whip it whenever you want|-|Baby, it's yours anywhere, everywhere|-|Baby it's your world, ain't it?|-|Baby it's your world, ain't it?|-|I know you want it boy|-|I see you trying|-|Just keep on pushing|-|I'ma let you slide in|-|Just close your eyes and|-|This horizon|-|It's ready, come get you some|-|Yeah, yeah, yeah, yeah|-|Sync by @xRakk"
24,Grand Piano Lyrics,"Am I just a fool?|-|Blind and stupid for loving you|-|Am I just a silly girl?|-|So young and naive to think you were|-|The one who came to take claim of this heart|-|Cold-hearted shame you'll remain just afraid in the dark|-|And now the people|-|The people are talking|-|The people are saying that you have been playing my heart like a grand piano|-|The people are talking|-|The people are saying that you have been playing my heart like a grand piano|-|So play on, play on, play on|-|Play on, play on, play on|-|Play on, play on, play on|-|Play on, play on|-|Am I queen of fools?|-|Wrapped up in lies and foolish jewels|-|What do I see in you?|-|Maybe I'm addicted to all the things you do|-|Cause I keep thinking you were|-|The one who came to take claim of this heart|-|Cold-hearted shame you'll remain just afraid in the dark|-|The people are talking|-|The people are saying that you have been playing my heart like a grand piano|-|The people are talking|-|The people are saying that you have been playing my heart like a grand piano|-|So play on, play on, play on|-|Play on, play on, play on|-|Play on, play on, play on|-|Play on, play on"
25,No Frauds Lyrics,"M-M-Murda|-|I don't need no, frauds|-|I don't need no, drama when you call|-|I don't need no, fake|-|Soon as I wake up keep an eye out for the snakes, yeah|-|'Cause I don't need no, fraud|-|I don't no, drama when you call|-|I don't need no, lies|-|Pick a side, pick a side|-|I took the price, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|I took the price, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|Aye yo, throw your wrist-es up, all my bitches up|-|These niggas is pussier than what? All them dicks is up|-|All my real niggas down to ride, throw your GSXRs up|-|I ain't in the projects, but all my bricks is up, rrrr|-|You can't be Pablo if your work ain't sellin'|-|What the fuck is this bitch inhalin'?|-|I would've helped you out that pit you fell in|-|I am the generous Queen! Ask Ms. Ellen|-|Tried to drop ""Another One"", you was itchin' to scrap|-|You exposed your ghostwriter, now you wish it was scrapped|-|Heard your pussy on ""Yuck,"" I guess you needed a Pap|-|What type of bum bitch shoot a friend over a rack?|-|What type of mother leave her one son over a stack?|-|Lil Boogie down basic bitch thinkin' she back|-|Back to back, oh you mean, back to wack?|-|""Back to Back""? Me and Drizzy laughed at that|-|They say numbers don't matter but when they discussin' the kings|-|They turn around and say Lebron ain't got 6 rings|-|I never signed a 360, bitch you wild dumb|-|That's why Jay ain't clear his verse for your album|-|Sheneneh, you a fraud committin' perjury|-|I got before and after pictures of your surgery|-|Rah took you to her doc, but you don't look like Rah|-|Left the operating table, still look like ""nah""|-|'Cause I don't need no, frauds|-|I don't need no, drama when you call|-|I don't need no, lies|-|Pick a side, pick a side|-|I took the price, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|I took the price, yeah, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|Yeah, yeah, never been no fraud|-|Why do niggas that are not involved love to get involved?|-|Why do niggas claim the streets and act just like the law?|-|Riddles that I cannot seem to solve, man|-|Cristal, come at me, Weezy F and Nick|-|All come and spoke about your shit in '15|-|Man, I know you niggas saw this one comin'|-|My net worth sound like *brrrrrr*|-|But they don't pay in cash|-|Niggas see me like, ""What up, Killa?""|-|Man, please stop bringin' up my past|-|I'd really love to leave that behind|-|Sometimes I ask God, ""Man, why him?""|-|Like the team that I would never leave behind|-|I really gotta ease off the wine|-|Which is funny because I just saw Nick the other day|-|And she keeps getting finer over time|-|I just know|-|I don't need no, frauds|-|I don't need no, drama when you call|-|I don't need no, lies|-|Pick a side, pick a side|-|I took the price, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|I took the price, yeah, and lift that bitch up|-|I took the ice, let me lift my wrist up|-|Uh, I am not a fraud, YM, I'm the god|-|They don't make 'em like me no more, man, I'm a dinosaur|-|Blunt be tight as biker shorts, twisted like some handlebars|-|Lil' Tune out a cartoon or Avatar|-|I just looked in the mirror like, ""All right, all right, all right""|-|I would let that little leaguer right there fuck my wife, word|-|I don't need no fraud bitches in and out my life, word|-|Eatin' out my pockets, they be in and out of sight, word|-|I don't need no drama, I just need some nana|-|Just told my lil' mama, ""Babe, I think I love you, kinda""|-|Feelin' like Tune-y Montana, Weezy, he get honored|-|Drake a headliner, and Nicki, she get finer, word"
26,Lookin Ass Nigga Lyrics,"Look at y'all niggas... Niggas|-|Look at y'all niggas... Niggas|-|Look at y'all smokin' ass niggas|-|After every pull, niggas start chokin' ass niggas|-|Nigga-nigga|-|Look at y'all bitch ass niggas|-|Stop lyin' on your dick ass niggas|-|Nigga-nigga|-|Look at y'all lookin' ass niggas|-|Stop lookin' at my ass ass niggas|-|Look at y'all lyin' ass niggas|-|Talkin' 'bout ""It's paid off"" but it's financed, lyin' ass nigga|-|Bunch of non-mogul ass niggas|-|Frontin' like they got a plan, Boost Mobile ass nigga|-|Nigga, nigga, look at y'all|-|Can't get a job so you plottin' how to rob ass niggas|-|I ain't gotta check for y'all|-|But if I'ma check for y'all, I'ma need a check from y'all niggas|-|I don't want sex, give a fuck about your ex|-|I don't even want a text from y'all niggas|-|I'm rapin' you niggas|-|Look at this pic, look what the fuck I gave to you niggas|-|Ain't feelin' these niggas|-|Niggas want my time, call me Clinton, I'm billin' these niggas|-|All I know is there should be no reason|-|All I know is there should be no reason|-|All I, all I know is there should be|-|All I know|-|All I, all I know is there should be no reason|-|All I know, you know it, and you know it|-|Look at what, reason|-|Look at y'all sharin' one bottle in the club|-|One bottle full of bub' ass niggas|-|Look at y'all not havin' game ass niggas|-|Y'all niggas share a chain ass niggas|-|Same cup in the hand ass nigga|-|In the club with a credit card scam ass nigga|-|No dick in the pants ass nigga|-|I be damned if I fuck a non-man ass nigga|-|I will, I will, I will never fuck a non-man ass nigga|-|I would never lie|-|Even if that nigga flew me and my bitches all the way out to Dubai|-|Pussy, you tried, pussy ass nigga you lie|-|Pussy ass nigga, you high|-|Bitch I'm me, hundred on the wrist, I ski|-|Art on the wall, Basqui, fuck who see|-|Look at you fake dope dealers|-|Know real niggas that be movin' weight in them villas|-|Talkin' 'bout ki's, say it's ki's in the van|-|But he really move grams and he split it with his mans|-|All I know is there should be no reason|-|All I know is there should be no reason|-|All I, all I know is there should be|-|All I know|-|All I, all I know is there should be no reason|-|All I know, you know it, and you know it|-|Look at what, reason"
27,Right By My Side Lyrics,"It all comes, down to this|-|I miss your morning kiss|-|I won't lie, I'm feeling it|-|You're gone now, and I missing it|-|I'm so dumb, I must admit|-|It's too much, to hold it in|-|I can't say no more than this|-|I just hope your heart hear me now|-|Gotta let you know, how I'm feeling|-|You own my heart, hes just renting|-|Don't turn away, pay attention|-|I'm pouring out my heart oh boy|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|Let's meet at our favorite spot|-|You know the one, right around the block|-|From the nice place that you love to shop|-|Can you get away?|-|Girls just sit down, Let's talk it out|-|One on one, without a crowd|-|I wanna hold your hand, making ya love again|-|I need to be near you|-|Gotta let you know how I'm feeling|-|You own my heart, shes just renting|-|Don't turn away, pay attention|-|I'm pouring out my heart oh girl|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|I can't eat I, I, I'I|-|I can't sleep I, I, I, I|-|What I need I, I, I, I|-|If you're not by my side|-|I can't eat I, I, I'I|-|I can't sleep I, I, I, I|-|What I need I, I, I, I|-|If you're not by my side|-|It ain't your spit game|-|It's your dick game|-|That got me walkin' round ready to wear your big chain|-|I only argue with them when the lakers on|-|Other than that, I'm gettin' my Marc Jacobs on|-|Pussy game so cold that he always seems to come back|-|Cause you know that it be a rap, When I ridin' it from back|-|Wait, Oh let me see your phone|-|Cause all them bitches is rachet|-|Wait, Oh let me gettin' my truck|-|Cause all them bitches will catch it|-|Wait, damn, there I go again|-|I be trippin', I be flippin', I be so belligerent|-|Man the shit that we be fighting over so irrelevant|-|I don't even remember, though I was probably hella bent|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|I, I'm not livin' life|-|I'm not livin' right|-|I'm not livin'|-|If you're not by my side|-|Ohhhhhhhhhh|-|I can't eat I, I, I'I|-|I can't sleep I, I, I, I|-|What I need I, I, I, I|-|If you're not by my side"
28,Down In The DM Lyrics,"If she respond to this DM, boy you fucked up|-|She took your pictures off her 'Gram, y'all must have broke up|-|First she love you, then she blocked you, boy that's fucked up|-|It's the remix and you know what's up|-|Aye it go, it goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|I tell her|-|Snapchat me that pussy, mood|-|Or FaceTime me that pussy if it's cool|-|(Whoo) Boy, my DM poppin' (DM poppin')|-|My DM just caught a body|-|If you screenshottin', you the police|-|10 likes, you want OD|-|Follow shawty then unfollow|-|Then follow back, that's so me|-|She's like, ""I killed 'em, bitch I killed 'em, really killed 'em""|-|Bitch you wouldn't look like that if you undo all them filters and angles|-|I seen your girl post her BM (W)|-|So I hit her in her DM|-|All eyes, yeah I see 'em|-|Yeah, that's your man? I'd hate to be him (whoop)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|Your dick ain't good enough to be stylin' on me|-|You's a bitch ass nigga to keep on wildin' on me|-|Hit my side nigga, ""Quick, fast! Pull up in that quick, fast!""|-|I ain't talkin' pancakes, but he flip a brick fast|-|A bunch of bad bitches, ain't doin' the dab, bitches|-|Doobie and some bangs, couple Cs on their bag, bitches|-|Fuck you mean? Fuck your little memes|-|Even Queen Bey had to tell 'em I'm the queen|-|Check the D, blessed indeed|-|The executive producer, bitch, rest in peace|-|Then he put his hands in my pants, felt them thick lips, and got wood|-|He said, ""Kylie wuss good?"" I said, ""Miley wuss good?""|-|I said, ""Could you pay my bills, like O'Reilly? Wuss good?""|-|I just sit back and observe, all these niggas that I done curved|-|If it go down in your DM then baby boy, you lucky|-|'Cause 99.9% of these fuckboys can't fuck me|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|Yo, yo, I seen your man post a quote, and a pic in bed|-|So I hit him in the DM, like, ""Hey bighead|-|'Member when I was your woman crush?"", he said, ""Yeah""|-|Told him that I'm headed home, he could meet me there|-|Try to beat me there, let me be clear|-|Is you eatin' ass too? Nigga, pinky swear|-|I'm just lookin' for a dude, that could eat the twat|-|Do he make more dough, than the pizza shop?|-|Do he dress every day, like it's Easter Sunday?|-|Can he give me more head, than Peggy Bundy?|-|Man, fuck I look, like turnin' down some dome?|-|Man that's sorta, like a dog turnin' down some bone|-|Nigga know that I'm a 10, that's Celine on my lens|-|I don't need another friend, it's just me and my Ms|-|I said, ""What you like about me?"" he said, ""That your ass fat""|-|He said, ""Would I let him eat this ice cream, out my ass crack?""|-|He said that, ""It's abstract"", he said, ""Joe, yo ass crack!""|-|I told him ""I never front"", and then I threw that ass back|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|I tell her|-|Snapchat me that pussy (Mood)|-|Snapchat me that pussy if it's cool|-|Snapchat me that pussy (Mood)|-|Snapchat me that pussy if it's cool|-|I seen your girl post her BM|-|So I hit her in her DM|-|All eyes, yeah I see 'em|-|Yeah, that's your man? I'd hate to be him (Whoop)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)|-|It goes down in the DM (It go down)|-|It go down in the DM (It go down, it go down)"
29,I Lied Lyrics,"Ooh ooh ooh I lied, I lied, I lied|-|To keep you from breaking my heart|-|Even though I said I didn't love you I lied I lied|-|Even though I said I didn't need you I lied I lied|-|To keep you from breaking my heart, ooh|-|To keep you from breaking my heart, ooh|-|Even though I said don't touch me I lied, I lied|-|I can't fall for you, can't give my all to you|-|I can't let you think that Imma let the game stall for you|-|Gotta protect me you gotta sweat me|-|You said you thought you was ready and I said let's see|-|But I ain't mean that, I need some fucking proof|-|Cause what happens if I fall in love then you cut me loose|-|You just a heart breaker won't let you break mine|-|Cause I'll be smashing windows and cutting them break lines|-|I lied|-|Cause who knew if I should let myself go with you|-|Who knows, who knows, so I lied|-|To keep you from breaking my heart, ooh|-|To keep you from breaking my heart, ooh|-|Even though I said fuck you, I lied, I lied|-|I thought eventually you would let me go|-|That was my insecurities and my ego|-|Missed my jump shot missed my free throw|-|Miss the way we kiss miss the d o|-|Man it was good while it lasted|-|That shit wasn't real it was magic|-|If it was a record it would have been classic|-|But fuck you though, orgasmic|-|This is what I gotta do to keep me from falling|-|Stalling the truth, who knew what you'd|-|Do If I let you in|-|My mama ain't raised no fool|-|I am not your usual typical type|-|Who would protect me if I never hide?|-|Falling so fast I am afraid of you|-|So I lied, I lied, I lied|-|To keep you from breaking my heart, ooh|-|To keep you from breaking my heart, ooh|-|I lied, ooh baby, oooh|-|Cause what if I let myself go with you"
